,0
0,début
1,fin
2,milieu
3,commencement
4,vie
5,arche
6,noé
7,dieu
8,sept
9,jours
10,monde
11,homme
12,femme
13,eve
14,adam
15,enfant
16,abel
17,caïn
18,marie-madeleine
19,jésus
20,recommencer
21,reprendre
22,retravailler
23,ne
24,pas
25,oublier
26,garder
27,tête
28,travail
29,recommencer
30,tomber
31,relever
32,tomber
33,revenir
34,faire
35,pas
36,arrière
37,mieux
38,avancer
39,début
40,travail
41,début
42,histoire
43,tourner
44,page
45,ranger
46,livre
47,début
48,activité
49,activite
50,joyeuse
51,fin
52,activité
53,fin
54,classe
55,sonnerie
56,alarme
57,enfant
58,cri
59,joie
60,début
61,film
62,début
63,histoire
64,histoire
65,sans
66,fin
67,histoire
68,intéressante
69,filmographie
70,cinématographie
71,acteur
72,sosie
73,homme
74,femme
75,avant
76,début
77,toujours
78,début
79,quelque
80,chose
81,nouveau
82,départ
83,départ
84,voyage
85,début
86,aventure
