,0
0,force
1,solidarité
2,optimisme
3,pessimisme
4,fonctionnalité
5,pleure
6,combativité
7,couple
8,rage
9,couple
10,rageur
11,rageant
12,pasteur
13,corps
14,humain
15,tête
16,cheveux
17,yeux
18,oreille
19,bouche
20,peau
21,pied
22,pantalon
23,jupe
24,robe
25,pull-over
26,table
27,chaise
28,ordinateur
29,bureau
30,crayon
31,stylo
32,règle
33,travail
34,troisième
35,étage
36,ascenseur
37,trois
38,collègue
39,ordinateur
40,écran
41,clavier
42,pot
43,crayons
44,pot
45,stylos
46,plante
47,thé
48,café
49,chauve
50,porte
51,étagère
52,métal
53,gris
54,papier
55,bleu
56,jaune
57,rouge
58,rose
59,cafetière
60,noir
61,café
62,filtre
63,sucre
64,lait
65,tableau
66,ordinateur
67,papier
68,peint
69,grain
70,néon
71,blafard
72,blanc
73,nuit
74,bruit
75,travaux
76,arrêt
77,arrêt
78,bus
79,vélo
80,arceau
81,vélo
