,0
0,fin
1,continuité
2,cursus
3,chemin
4,route
5,navigable
6,voie
7,naviguable
8,autoroute
9,liaison
10,parcours
11,voiture
12,vélo
13,train
14,avion
15,avion
16,nature
17,nature
18,espace
19,atmosphère
20,terre
21,mer
22,océan
23,montagne
24,route
25,environnement
26,écosystème
27,terre
28,mer
29,océan
30,parcours
31,vélo
32,tricyle
33,mobylette
34,roller
35,piste
36,cyclable
37,piste
38,envol
39,parapente
40,avion
41,planeur
42,montgolfière
43,ballon
44,dirigeable
45,soleil
46,azur
47,groenland
48,vie
