,0
0,imprimante
1,imprime
2,soie
3,toile
4,musée
5,navire
6,bateau
7,naviguer
8,costaud
9,jean-luc
10,godard
11,dostoïevski
12,mijailovic
13,frères
14,karamasov
15,idiot
16,aliocha
17,thomas
18,amour
19,paix
20,pace
21,christ
22,église
23,abandon
24,croyance
25,foi
26,religion
27,mircea
28,eliade
29,écrire
30,non
31,vu
32,non
33,connu
34,non
35,aperçu
36,veridicité
37,verdict
38,josé
39,journaliste
40,palestine
41,israel
42,plaine
43,schirmeck
44,retour
45,hôpital
46,help
47,aide
48,entraide
49,partage
50,ordinateur
51,commande
52,chef
53,chef
54,médecin
55,patient
56,courbature
57,douleur
58,cri
59,secours
60,aide
61,sos
62,secouriste
63,sst
64,particule
65,chercher
66,trouver
67,rechercher
68,retrouver
69,mort
70,vivant
71,maintenant
72,est
