,0
0,royaume
1,dieux
2,royaume
3,château
4,châtelain
5,princesse
6,comte
7,comtesse
8,diane
9,poitiers
10,château
11,chenonceau
12,ciel
13,royaume
14,christianisme
15,religion
16,catholicisme
17,jésus
18,jésus
19,fils
20,dieu
21,christ
22,royaume
23,territoire
24,conquête
25,civilisation
26,guerre
27,éthnie
28,continent
29,pays
30,stratégie
31,richesse
32,lingot
33,coffre
34,or
35,toile
36,épée
37,royaume
38,épée
39,guerre
40,guerre
41,religion
42,guerre
43,territoire
44,guerre
45,royaume
46,étendue
47,étendue
48,bijou
49,bijou
50,verrerie
51,orfèvrerie
52,coutellerie
53,roi
54,reine
55,princesse
56,héritier
57,héritière
58,première
59,dame
60,première
61,dame
62,infante
63,infante
64,royaume
65,espagne
66,guerre
67,religion
68,conquête
69,françois
70,1er
71,coffre
72,or
73,famine
74,famine
75,pauvreté
76,paysan
77,terre
78,jachère
