,0
0,peine
1,tristesse
2,pleur
3,fatigue
4,stress
5,anxiété
6,contraire
7,joie
8,antonyme
9,joie
10,mal
11,pique
12,épine
13,bâton
14,fessée
15,injustice
16,jalousie
17,larme
18,coccyx
19,casser
20,abîmer
21,vertèbre
22,mal
23,placée
24,soleil
25,espoir
26,lumière
27,jour
28,yeux
29,fatigué
30,fourmillement
31,picotement
32,crise
33,tétanie
34,magnésium
35,banane
36,potassium
37,chocolat
38,tristesse
39,pic
40,mirandole
41,symbolisme
42,symbolisme
43,rationalisme
44,autre
45,auteur
46,écrivan
47,poème
48,mélancolie
49,mélancolique
50,heimweh
51,heimat
52,partie
53,terre
54,natale
55,alsace
56,tomi
57,ungerer
58,amour
59,paix
60,joie
