,0
0,vipère
1,chat
2,chien
3,mouche
4,guêpe
5,crocodile
6,alligator
7,cochon
8,mouton
9,orvet
10,cobra
11,éléphant
12,zèbre
13,jaguar
14,chow-chow
15,caniche
16,serpent
17,moustique
18,punaise_lit
19,autruche
20,poule
21,oie
22,dindon
23,kangourou
24,koala
25,émeu
26,paresseux
27,lion
28,tigre
29,chèvre
30,cochon
31,sanglier
32,tigre
33,licorne
34,manchot
35,pingouin
36,morse
37,lamantin
38,limule
39,auroch
40,yak
41,chamois
42,zébu
43,ornithorynque
44,lynx
45,loup
46,tétras
47,faucon
48,faison
49,cerf
50,biche
51,daim
52,écureuil
