,0
0,royaume
1,dieux
2,royaume
3,château
4,châtelain
5,princesse
6,comte
7,comtesse
8,diane_poitiers
9,château_chenonceau
10,ciel_royaume
11,christianisme
12,religion
13,catholicisme
14,jésus
15,jésus_fils_dieu
16,christ
17,royaume
18,territoire
19,conquête
20,civilisation
21,guerre
22,éthnie
23,continent
24,pays
25,stratégie
26,richesse
27,lingot
28,coffre
29,or
30,toile
31,épée
32,royaume
33,épée
34,guerre
35,guerre_religion
36,guerre_territoire
37,guerre_royaume
38,étendue
39,étendue
40,bijou
41,bijou
42,verrerie
43,orfèvrerie
44,coutellerie
45,roi
46,reine
47,princesse
48,héritier
49,héritière
50,première_dame
51,première_dame
52,infante
53,infante
54,royaume_espagne
55,guerre_religion
56,conquête
57,françois_1er
58,coffre_or
59,famine
60,famine
61,pauvreté
62,paysan
63,terre
64,jachère
