,0
0,héritage
1,gouvernant
2,gouverner
3,seigneur
4,trône
5,ère
6,époque
7,donner
8,conquérir
9,mener
10,armer
11,arme
12,bataille
13,sol
14,courage
15,conquête
16,chasser
17,chasse
18,prendre_place
19,territoire
20,espace
21,géographie
22,accord
23,stabilisation
24,stabiliser
25,peuple
26,serviteur
27,domestique
28,tapis
29,couleur
30,forme
31,drapeau
32,représentant
33,envoyer
34,vizir
35,nuit
36,mille
37,shéhérazade
38,désert
39,vent
40,étoile
41,souffle
42,mystère
43,beauté
44,danger
45,surprise
46,surpris
47,mensonge
48,trahir
49,aimer
50,amour
51,don
52,protection
53,demander
54,demande
55,visite
56,abandonner
57,perdre
58,bataille
59,résigner
60,résignation
