,0
0,danger
1,mourir
2,enfant
3,noyer
4,bactérie
5,champignon
6,difficulté_nager
7,piscine_trop_petite
8,piscine_trop_froide
9,piscine_sur-encombrée
10,piscine_éloignée
11,piscine_intercommunale
12,piscine
13,cher_entretien
14,piscine
15,appréciée_compétiteurs
16,piscine
17,contact
18,eau
19,bien-être
20,eau_porte
21,portage_eau
22,piscine
23,siège_évolution_sous-marine
24,création_piscine
25,professionnel_création_piscine
26,problème_consommation_eau
27,limiter_piscines
28,limiter_consommation_eau
29,carola
30,après-guerre
31,carola
32,eau_source_thermale
33,eau_source_alimentaire
