,0
0,piscine
1,pansement
2,pantalon
3,puit
4,pou
5,plâtre
6,passerelle
7,pont
8,plante
9,pissenlit
10,plat
11,parade
12,parler
13,pot
14,pigeon
15,prieur
16,police
17,piller
18,pastèque
19,pamplemousse
20,porte-clés
21,plage
22,plaine
23,pustule
24,poire
25,pire
26,père
27,paire
28,pleuvoir
29,pluie
