,0
0,début
1,fin
2,ouverture
3,opéra
4,fétiche
5,ténor
6,soprano
7,mezzo-soprano
8,thierry_forgin
9,bibliothèque
10,représentation
11,répétition
12,répétition
13,ouvrier
14,décor
15,décoration
16,dame
17,disque
18,magazine
19,magazine_télé
20,magazine_opéra
21,fin
22,moyen
23,début_vie
24,vie
25,mort
26,repère
27,maladie
28,mariage
29,filiation
30,amour
31,défense
32,haine
33,début_chantier
34,début_crevaison
35,voiture
36,pneu
37,début_fin
38,malheur
39,début_hostilités
40,guerre
41,réconciliation
42,paix
43,armistice
44,wagon
45,pourparlers
46,etats-unis
47,japon
48,tokyo
49,début_ère_meiji
50,sectorisation
51,plateau_télévisé
52,début_film
53,début_pub
54,début_vacances
55,commencement
56,présentation
57,anneaux_jeux_olympiques
58,défaite_anneau
59,sotchi
60,représentation
