,0
0,début_fin
1,vieillesse
2,travail
3,début_relation_amoureuse
4,début_d’étude
5,début_vacances
6,début_job_été
7,début_voyage
8,début_construction_maison
9,début_passion
10,naissance_passion
11,début_entretien
12,début_vie_stage
13,début_alimentation_saine
14,début_nuit
15,début_soirée
16,début_repas
17,début_journée
18,début_apprentissage
19,musique
20,début_apprentissage_dessin
21,début_apprentissage_peinture
22,début_apprentissage
23,gymnastique_récréative_sportive
24,début_école
25,école_commerce
26,début_école_finances
27,début_amour
28,tous_deux
29,début
