,0
0,bleu
1,carreau
2,dauphin
3,villa
4,sud
5,vacances
6,maillot_bain
7,bouée
8,natation
9,cocktail
10,tropiques
11,bleu_turquoise
12,froid
13,chauffer
14,aspirateur
15,feuille
16,amis
17,baignade
18,jouer
19,lunettes_natation
20,bonnet_bain
21,enfant
22,rire
23,détente
24,amusement
25,vacances
26,ciel_bleu
27,chlore
28,bronzage
29,crème_solaire
30,transat
31,plongeoir
32,plonger
33,couverte
34,découverte
35,vingt-cinq_mètres
36,cinquante_mètres
37,ligne_natation
38,compétition
39,jeux_olympiques
40,bouée
41,apprendre_nager
42,nager
43,crawl
44,dros_crawlé
45,brasse
46,papillon
47,piscine_wacken
48,vélo
