,0
0,sparadrap
1,sang
2,hôpital
3,chirurgie
4,cancérologie
5,aiguille
6,bloc_opératoire
7,hôpital
8,blanc
9,blouse
10,médecin
11,docteur
12,infirmière
13,psychologue
14,psychiatre
15,potence
16,chaise_roulante
17,cri
18,angoisse
19,souffrance
20,urine
21,drain
22,thorax
23,point_suture
24,plaie
25,médicament
26,opiacé
27,pyjama
28,saleté
29,transpiration
30,sueur
31,vomissement
32,peur
33,solitude
34,fenêtre
35,espoir
36,vie
37,guérison
38,fin_souffrance
39,solidarité
40,soigner
41,médecine
42,clinique
43,réadaptation
44,rééducation
45,course
46,guérison
47,oubli
48,rechute
49,stade_quatre
50,mort
51,enterrement
52,terre
53,tristesse
54,famille
