,0
0,douleur
1,post-it
2,voir
3,une
4,deux
5,douleur
6,difficulté
7,mal
8,soin
9,médicament
10,douleur
11,vie
12,mort
13,douleur
14,vie
15,une
16,deux
17,douleur
18,relatif
19,relatif
20,une
21,petit
22,grand
23,beaucoup
24,une
25,deux
26,objectif
27,souffrir
28,ne_pas_souffrir
29,une
30,deux
31,trois
32,souffrir
33,courage
34,une
35,deux
36,trois
37,quatre
38,cinq
39,six
40,une
41,deux
42,digression
43,une
44,deux
45,trois
46,douleur
47,mal
48,manet
49,biographie
50,biographie_croisée
51,digression
52,genou
53,tête
54,tête
55,genou
56,articulation
57,entier
58,tenir
59,persévérance
60,une
61,deux
62,trois
63,une
64,minute
65,trente
66,une
67,deux
68,trente
69,vingt-neuf
70,vingt-huit
71,vingt-sept
72,vingt-six
73,vingt-cinq
74,vingt-quatre
75,vingt-trois
76,vignt-deux
77,vingt-et-un
78,douleur
79,vingt
80,une
81,deux
82,trois
83,douleur
84,vie
85,mort
86,oubli
87,une
88,deux
89,moi
90,genou
91,caillou
92,chou
93,une
94,deux
95,trois
96,quatre
97,cinq
98,une
99,deux
