,0
0,début
1,fin
2,ying
3,yang
4,yoga
5,méditation
6,transcendantal
7,début
8,histoire
9,début
10,roman
11,début
12,vie
13,mort
14,thanatos
15,eros
16,écriture
17,théatre
18,pièce
19,pièce
20,amour
21,romance
22,joie
23,pleurs
24,enfant
25,enfance
26,adolescence
27,adulte
28,oméga
29,alpha
30,alpha
31,oméga
32,alpha
33,oméga
34,début
35,vitalité
36,santé
37,chronique
38,histoire
39,fin
40,construction
41,fondation
42,maison
43,petit
44,cochon
45,paille
46,orge
47,romance
48,sentiment
49,commencement
50,commencement
51,commencement
52,fin
53,terminaison
