,0
0,cour
1,école
2,université
3,heure
4,bac
5,diplôme
6,manipulation
7,chien
8,forêt
9,ami
10,bar
11,boisson
12,lit
13,coussin
14,famille
15,mère
16,père
17,sœur
18,copain
19,meilleur_ami
20,mort
21,cimetière
22,suicide
23,hôpital
24,médicament
25,antidépresseur
26,dépression
27,maladie
28,couverture
29,pièce
30,argent
31,sombre
32,petit
33,étroit
34,compression
35,vide
36,froid
37,noir
38,long
39,difficile
40,réflexion
41,tension
42,stress
43,obligation
44,conforme
45,copie
46,double
47,crainte
48,royauté
49,jalousie
50,peur
51,colère
52,envie
