,0
0,royaume
1,roi
2,reine
3,prince
4,princesse
5,motordu
6,livre
7,enfant
8,conte
9,le_petit_prince
10,aviateur
11,hydravion
12,ulm
13,parapente
14,parachute
15,nuage
16,vide
17,saut
18,plongée
19,poisson
20,laine
21,dauphin
22,otarie
23,banquise
24,réchauffement_climatique
25,écologie
26,diesel
27,pétrole
28,pollution
29,gaz
30,charbon
31,éolienne
32,panneau_solaire
33,désert
34,pipeline
35,oasis
36,chameau
37,dromadaire
38,lunettes_de_soleil
39,piscine
40,maillot_de_bain
41,mer
42,plage
43,vélo
44,voiture
45,bus
46,ascenseur
47,escalier
48,toit
49,maison
50,immeuble
51,police
52,gendarme
53,ministre
54,avocat
55,juge
56,maire
57,conseiller
58,sénateur
59,diplomate
60,embassadeur
61,président
62,dictateur
