,0
0,courage
1,force
2,personnalité
3,joyeux
4,malheureux
5,sourire
6,dents
7,lunettes
8,visage
9,cheveux
10,long
11,bruns
12,grand
13,petit
14,oreille
15,nez
16,bouche
17,lèvres
18,main
19,pied
20,genou
21,jambes
22,ventre
23,poitrine
24,corset
25,robe
26,louis_xvi
27,roi_soleil
28,versailles
29,monarchie
30,marie_antoinette
31,louis_xvi
32,bastille
33,république
34,démocratie
35,prison
36,télévision
37,lit
38,lavabo
39,toilette
40,barreaux
41,gardiens
42,grillage
43,vache
44,mouton
45,chien
46,berger
47,alpes
48,montagnes
49,ski
50,télécabine
51,téléski
52,pistes
53,vert
54,bleu
55,rouge
56,couleur
