,0
0,chat
1,chien
2,hamster
3,cochon_d'inde
4,baleine
5,otarie
6,phoque
7,pingouin
8,manchot
9,coucou
10,dinde
11,éléphant
12,girafe
13,gorille
14,chimpanzé
15,macaque
16,singe
17,poule
18,béluga
19,requin
20,cachalot
21,calamar
22,pieuvre
23,étoile_de_mer
24,crabe
25,escargot
26,limace
27,hérisson
28,grenouille
29,triton
30,crapaud
31,cerf
32,daim
33,renne
34,élan
35,ours
36,lynx
37,saumon
38,aigle
39,faucon
40,perroquet
41,canari
42,caniche
43,bouledogue
44,gerbille
45,souris
46,rat
47,ragondin
48,araignée
49,moustique
50,scorpion
