,0
0,fin
1,début
2,début_de_ma_dépression
3,le_début_c'est_la_naissance
4,début_des_cours
5,rentrée
6,début_d'un_album
7,début_de_plein_de_choses
8,début
9,naissance
10,évolution
11,début
12,milieu
13,fin
14,nourrisson
15,nouveaux-nés_c'est_tout_petit_c'est_le_début
16,ils_apprennent_à_parler_à_marcher_à_danser_à_chanter_à_crier
17,quand_tu_es_content_c'est_le_début_de_la_rigolade
18,dépression
19,quand_tu_es_en_dépression_ça_commence_à_être_le_bordel
20,le_début_d'un_repas
21,prendre_un_café
22,le_début_c'est_génial_parce_que_tu_ne_sais_jamais_comment_ça_va_finir
23,commencement
24,évolution_en_train_d'arriver
25,début
26,début
27,il_y_a_un_début_et_une_fin_c'est_comme_un_voyage
28,voyage
29,tu_as_un_début_et_une_fin_et_tu_as_le_entre_où_c'est_le_voyage
