,0
0,royaume_des_cieux
1,royaume_du_père
2,royaume_éternel
3,règne
4,roi
5,reine
6,valet
7,dame
8,royaume_du_père
9,régner
10,autorité
11,détruire
12,taxer
13,royaume_de_faire_payer
14,royaume_de_punir
15,roi_du_monde
16,roi
17,roi_d'angleterre
18,reine_d'angleterre
19,roi
20,le_royaume_de_régner
21,le_royaume_de_terrifier
22,roi_qui_terrifie
23,royaume_de_l'autorité
24,autoritaire
25,royaume_d'esclavage
26,règner_dans_les_esclaves
27,le_royaume_de_conquérir_le_monde
28,royaume
29,conquérir_la_planète
30,conquérir_l'univers
31,rêve
32,rêver
33,royaume_de_la_peur
34,royaume_de_la_méfiance
35,royaume_de_la_confiance
