,0
0,chien
1,chat
2,vache
3,taureau
4,génisse
5,brebis
6,mouton
7,dobermann
8,dog
9,poulet
10,poule
11,âne
12,girafe
13,zébu
14,gazelle
15,rhinocéros
16,triceratops
17,ptérodactyle
18,poussin
19,paon
20,anaconda
21,aigle
22,passereau
23,moineau
24,corbeau
25,bouvreuil
26,marmotte
27,autruche
28,bœuf
29,lapin
30,lièvre
31,sanglier
32,chèvre
33,bouc
34,oie
35,dindon
36,cochon
37,truie
38,goret
39,siamois_
40,rottweiler
41,danois
42,dalmatien
43,zébu
44,iguane
45,dragon
46,cheval
47,jument
48,poulain
49,poisson
50,requin
