,0
0,chien
1,chat
2,rat
3,souris
4,cheval
5,veau
6,vache
7,cochon
8,serpent
9,caméléon
10,grenouille
11,crapaud
12,bœuf
13,oiseau
14,perdrix
15,caille
16,ovin
17,caprin
18,mouton
19,mouton
20,chèvre
21,chevrette
22,biche
23,cerf
24,biche
25,cerf
26,chevrette
27,chevrette
28,éléphant
29,girafe
30,émeu
31,cygogne
32,tapir
33,rhinocéros
34,rhinocéros
35,lion
36,tigre
37,koala
38,tortue
39,phoque
40,requin
41,baleine
42,squale
43,mouche
44,tigre
45,moustique
46,moustique
47,moustique
48,araignée
49,araignée
50,tapie
51,tapie
52,coelacanthe
53,coelacanthe
54,mammouth
55,mammouth
56,émeu
57,émeu
58,orignal
59,orignal
60,poisson
61,poisson
62,carpe
63,brochet
64,truite
65,cabillaud
66,morue
67,lotte
68,loup
