,0
0,partir
1,pâtisserie
2,public
3,poubelle
4,professeur
5,peluche
6,participer
7,polo
8,pull
9,parka
10,pelote
11,plein
12,patauger
13,palmier
14,peintre
15,pupitre
16,parodie
17,pinceau
18,partager
19,poubelle
20,puce
21,pantalon
