,0
0,voiture
1,maison
2,trois
3,lion
4,assiette
5,bol
6,épingle
7,nuage
8,camion
9,endive
10,courgette
11,concombre
12,salade
13,boîte
14,verre
15,couteau
16,fourchette
17,bagarre
18,réconcilier
19,triste
20,joyeux
21,émouvant
22,santé
23,malade
24,trouble
25,yeux
26,nez
27,bouche
28,main
29,orteil
30,pied
31,genou
32,chou
33,hibou
34,caillou
35,lapin
36,chien
37,léopard
38,crocodile
39,bateau
40,tank
41,valise
42,rein
43,chat
44,écureuil
45,arbre
46,pomme
47,poire
48,raison
49,orange
50,banane
51,kaki
