,task,acc,F1,MCC,kernel,C,gamma,best cv
0,courage,0.8181818181818182,0.875,0.5416666666666666,rbf,1.0,31.622776601683793,0.7096774193548387
1,debut,0.7272727272727273,0.8421052631578948,0.0,rbf,0.001,0.001,0.5483870967741935
2,douleur,0.8181818181818182,0.875,0.5416666666666666,rbf,316.22776601683796,1.0,0.6774193548387096
3,piscine,0.5454545454545454,0.6666666666666666,-0.03857583749052298,rbf,316.22776601683796,1.0,0.6451612903225806
4,royaume,0.5454545454545454,0.6666666666666666,-0.03857583749052298,rbf,3.1622776601683795,31.622776601683793,0.6129032258064516
5,serpent,0.7272727272727273,0.7999999999999999,0.38575837490522974,rbf,316.22776601683796,1.0,0.6451612903225806
6,fcat,0.6363636363636364,0.7777777777777777,-0.19364916731037085,rbf,31.622776601683793,0.31622776601683794,0.8064516129032258
7,flib,0.5454545454545454,0.5454545454545454,0.375,rbf,31.622776601683793,0.03162277660168379,0.6774193548387096
8,flit,0.36363636363636365,0.4615384615384615,-0.2608745973749754,rbf,100.0,1.0,0.6451612903225806
