,Groups,VF,acc,F1,MCC,alpha,best cv
7,mania & depression,courage,0.3636363636363636,0.4615384615384615,-0.2608745973749754,0.01,0.5095238095238096
22,mania & depression,debut,0.6363636363636364,0.7777777777777777,-0.1936491673103708,10.0,0.4809523809523809
37,mania & depression,douleur,0.6363636363636364,0.7777777777777777,-0.1936491673103708,100.0,0.4809523809523809
52,mania & depression,fcat,0.7272727272727273,0.8421052631578948,0.0,100.0,0.5142857142857142
67,mania & depression,flib,0.5454545454545454,0.6153846153846154,0.1490711984999859,0.01,0.7095238095238094
82,mania & depression,flit,0.7272727272727273,0.8421052631578948,0.0,100.0,0.5476190476190476
97,mania & depression,piscine,0.8181818181818182,0.888888888888889,0.5163977794943222,10.0,0.7095238095238096
112,mania & depression,royaume,0.5454545454545454,0.6153846153846154,0.1490711984999859,1.0,0.5809523809523809
127,mania & depression,serpent,0.7272727272727273,0.8421052631578948,0.0,100.0,0.4476190476190476
