Groups,VF,acc,F1,MCC,alpha,best cv
control & mania,courage,0.7142857142857143,0.75,0.4472135954999579,0.01,0.663888888888889
control & mixed mania,courage,0.7272727272727273,0.8421052631578948,0.0,10.0,0.7190476190476189
control & mixed depression,courage,0.5384615384615384,0.7000000000000001,0.0,100.0,0.65
control & depression,courage,0.5833333333333334,0.7368421052631579,0.0,100.0,0.6107142857142858
control & euthymia,courage,0.8461538461538461,0.9166666666666666,0.0,100.0,0.5535714285714285
mania & mixed mania,courage,0.5,0.6666666666666666,-0.3273268353539886,10.0,0.6666666666666666
mania & mixed depression,courage,0.5454545454545454,0.5454545454545454,0.17857142857142858,10.0,0.5428571428571429
mania & depression,courage,0.36363636363636365,0.4615384615384615,-0.2608745973749754,0.01,0.5095238095238096
mania & euthymia,courage,0.4166666666666667,0.5333333333333333,-0.23904572186687872,10.0,0.6333333333333333
mixed mania & mixed depression,courage,0.5,0.3333333333333333,-0.06666666666666667,0.01,0.79
mixed mania & depression,courage,0.375,0.0,0.0,10.0,0.67
mixed mania & euthymia,courage,0.5,0.0,0.0,100.0,0.67
mixed depression & depression,courage,0.5555555555555556,0.6666666666666666,0.0,0.1,0.5133333333333333
mixed depression & euthymia,courage,0.6,0.6,0.2,0.01,0.44666666666666666
depression & euthymia,courage,0.4,0.25,-0.10206207261596577,0.01,0.6000000000000001
control & mania,debut,0.7857142857142857,0.7692307692307692,0.5773502691896257,0.01,0.6694444444444445
control & mixed mania,debut,0.7272727272727273,0.8421052631578948,0.0,1.0,0.7761904761904762
control & mixed depression,debut,0.6153846153846154,0.7368421052631579,0.31180478223116176,1.0,0.7
control & depression,debut,0.6666666666666666,0.7777777777777778,0.3567530340063379,1.0,0.7250000000000001
control & euthymia,debut,0.6153846153846154,0.761904761904762,-0.23354968324845687,100.0,0.6035714285714284
mania & mixed mania,debut,0.6,0.75,-0.21821789023599236,10.0,0.6666666666666666
mania & mixed depression,debut,0.6363636363636364,0.7777777777777778,0.0,100.0,0.5142857142857142
mania & depression,debut,0.6363636363636364,0.7777777777777777,-0.19364916731037085,10.0,0.4809523809523809
mania & euthymia,debut,0.5833333333333334,0.7368421052631579,0.0,100.0,0.4809523809523809
mixed mania & mixed depression,debut,0.5,0.0,-0.29277002188455997,0.01,0.65
mixed mania & depression,debut,0.5,0.33333333333333337,0.29277002188455997,10.0,0.67
mixed mania & euthymia,debut,0.5,0.0,0.0,10.0,0.67
mixed depression & depression,debut,0.4444444444444444,0.5454545454545454,-0.15811388300841897,0.01,0.6266666666666667
mixed depression & euthymia,debut,0.5,0.5454545454545454,0.0,100.0,0.6199999999999999
depression & euthymia,debut,0.2,0.33333333333333337,0.0,100.0,0.56
control & mania,douleur,0.5714285714285714,0.7000000000000001,0.2773500981126146,10.0,0.6416666666666666
control & mixed mania,douleur,0.7272727272727273,0.8421052631578948,0.0,1.0,0.7476190476190475
control & mixed depression,douleur,0.5384615384615384,0.6666666666666665,0.03289758474798845,1.0,0.7857142857142858
control & depression,douleur,0.5833333333333334,0.7058823529411764,0.07559289460184544,1.0,0.6678571428571429
control & euthymia,douleur,0.38461538461538464,0.5555555555555556,-0.39477101697586137,0.1,0.6535714285714285
mania & mixed mania,douleur,0.7,0.8235294117647058,0.0,10.0,0.6666666666666666
mania & mixed depression,douleur,0.6363636363636364,0.7777777777777778,0.0,100.0,0.5714285714285714
mania & depression,douleur,0.6363636363636364,0.7777777777777777,-0.19364916731037085,100.0,0.4809523809523809
mania & euthymia,douleur,0.5833333333333334,0.7368421052631579,0.0,100.0,0.4523809523809524
mixed mania & mixed depression,douleur,0.5,0.0,-0.29277002188455997,1.0,0.65
mixed mania & depression,douleur,0.375,0.0,0.0,100.0,0.67
mixed mania & euthymia,douleur,0.5,0.0,0.0,100.0,0.67
mixed depression & depression,douleur,0.5555555555555556,0.6,0.15811388300841897,0.1,0.6333333333333334
mixed depression & euthymia,douleur,0.4,0.5,-0.2182178902359924,1.0,0.6266666666666667
depression & euthymia,douleur,0.2,0.33333333333333337,0.0,100.0,0.56
control & mania,fcat,0.5,0.588235294117647,0.0,0.1,0.6694444444444445
control & mixed mania,fcat,0.7272727272727273,0.8421052631578948,0.0,10.0,0.7190476190476189
control & mixed depression,fcat,0.5384615384615384,0.7000000000000001,0.0,10.0,0.65
control & depression,fcat,0.5833333333333334,0.7368421052631579,0.0,10.0,0.6678571428571429
