Groups,VF,acc,F1,MCC,penalty,C,best cv
control & mania,courage,0.6428571428571429,0.7058823529411764,0.31622776601683794,l2,10.0,0.6027777777777777
control & mixed mania,courage,0.7272727272727273,0.8421052631578948,0.0,l2,0.01,0.7190476190476189
control & mixed depression,courage,0.5384615384615384,0.7000000000000001,0.0,l2,0.01,0.6785714285714286
control & depression,courage,0.4166666666666667,0.5333333333333333,-0.23904572186687872,l2,100.0,0.6928571428571428
control & euthymia,courage,0.5384615384615384,0.6666666666666665,0.03289758474798845,l1,100.0,0.6249999999999999
mania & mixed mania,courage,0.5,0.6666666666666666,-0.3273268353539886,l2,0.01,0.6666666666666666
mania & mixed depression,courage,0.5454545454545454,0.6666666666666666,-0.03857583749052298,l1,10.0,0.7476190476190476
mania & depression,courage,0.45454545454545453,0.5714285714285715,-0.14907119849998599,l2,0.1,0.5285714285714287
mania & euthymia,courage,0.4166666666666667,0.36363636363636365,-0.11952286093343936,l1,10.0,0.6952380952380952
mixed mania & mixed depression,courage,0.625,0.0,0.0,l1,0.01,0.61
mixed mania & depression,courage,0.375,0.0,0.0,l1,0.01,0.67
mixed mania & euthymia,courage,0.5,0.0,0.0,l1,0.01,0.67
mixed depression & depression,courage,0.3333333333333333,0.0,0.0,l1,0.01,0.52
mixed depression & euthymia,courage,0.6,0.33333333333333337,0.3333333333333333,l1,1.0,0.6399999999999999
depression & euthymia,courage,0.2,0.33333333333333337,0.0,l2,0.01,0.48666666666666664
control & mania,debut,0.5714285714285714,0.6666666666666665,0.17407765595569785,l2,0.01,0.6694444444444445
control & mixed mania,debut,0.8181818181818182,0.888888888888889,0.5163977794943222,l1,1.0,0.7428571428571428
control & mixed depression,debut,0.6923076923076923,0.7777777777777778,0.4605661864718383,l2,100.0,0.7321428571428571
control & depression,debut,0.5833333333333334,0.7368421052631579,0.0,l2,0.1,0.6714285714285715
control & euthymia,debut,0.23076923076923078,0.28571428571428575,-0.27247463045653303,l2,10.0,0.5607142857142857
mania & mixed mania,debut,0.7,0.8235294117647058,0.0,l2,0.01,0.6666666666666666
mania & mixed depression,debut,0.7272727272727273,0.7272727272727273,0.5714285714285714,l2,1.0,0.5523809523809524
mania & depression,debut,0.6363636363636364,0.7777777777777777,-0.19364916731037085,l2,0.01,0.4809523809523809
mania & euthymia,debut,0.5,0.4,0.09759000729485331,l2,10.0,0.5
mixed mania & mixed depression,debut,0.625,0.0,0.0,l2,0.01,0.6599999999999999
mixed mania & depression,debut,0.375,0.0,0.0,l1,10.0,0.77
mixed mania & euthymia,debut,0.375,0.0,-0.3779644730092272,l1,10.0,0.75
mixed depression & depression,debut,0.3333333333333333,0.25,-0.1889822365046136,l1,100.0,0.74
mixed depression & euthymia,debut,0.5,0.6153846153846154,0.0,l2,1.0,0.72
depression & euthymia,debut,0.4,0.0,-0.4082482904638631,l1,10.0,0.44666666666666666
control & mania,douleur,0.6428571428571429,0.6666666666666666,0.28867513459481287,l1,100.0,0.6416666666666667
control & mixed mania,douleur,0.7272727272727273,0.8421052631578948,0.0,l2,1.0,0.7238095238095237
control & mixed depression,douleur,0.6153846153846154,0.7368421052631579,0.31180478223116176,l2,0.1,0.7571428571428571
control & depression,douleur,0.5833333333333334,0.7368421052631579,0.0,l2,0.01,0.6678571428571429
control & euthymia,douleur,0.6923076923076923,0.8181818181818182,-0.18181818181818182,l2,0.01,0.5535714285714285
mania & mixed mania,douleur,0.7,0.8235294117647058,0.0,l2,0.01,0.6666666666666666
mania & mixed depression,douleur,0.5454545454545454,0.6666666666666666,-0.03857583749052298,l1,1.0,0.5238095238095237
mania & depression,douleur,0.45454545454545453,0.5,0.03857583749052298,l2,1.0,0.5142857142857142
mania & euthymia,douleur,0.5833333333333334,0.6153846153846153,0.1690308509457033,l1,1.0,0.4809523809523809
mixed mania & mixed depression,douleur,0.5,0.5,0.06666666666666667,l1,10.0,0.7
mixed mania & depression,douleur,0.125,0.0,-0.7453559924999299,l1,10.0,0.76
mixed mania & euthymia,douleur,0.5,0.0,0.0,l1,0.01,0.67
mixed depression & depression,douleur,0.4444444444444444,0.4444444444444444,0.0,l2,1.0,0.5933333333333334
mixed depression & euthymia,douleur,0.4,0.5,-0.2182178902359924,l1,10.0,0.6599999999999999
depression & euthymia,douleur,0.3,0.22222222222222224,-0.2182178902359924,l2,0.1,0.5599999999999999
control & mania,fcat,0.35714285714285715,0.18181818181818182,-0.31622776601683794,l1,100.0,0.6694444444444445
control & mixed mania,fcat,0.7272727272727273,0.8421052631578948,0.0,l2,0.01,0.7190476190476189
control & mixed depression,fcat,0.5384615384615384,0.6250000000000001,0.05143444998736397,l1,1.0,0.6714285714285714
control & depression,fcat,0.5,0.5,0.02857142857142857,l1,1.0,0.675
control & euthymia,fcat,0.6923076923076923,0.8181818181818182,-0.18181818181818182,l2,0.01,0.6535714285714285
mania & mixed mania,fcat,0.7,0.8235294117647058,0.0,l2,0.01,0.6666666666666666
mania & mixed depression,fcat,0.45454545454545453,0.5714285714285714,-0.17857142857142858,l2,1.0,0.7380952380952381
