task,unique_entries,repeat_entries,repeat_words,avg_global_sim,avg_neigh_sim
courage,0.0888888888888889,0.12957670877434002,0.054433105395181765,0.11331154474650632,0.12171612389003691
debut,0.044444444444444425,0.08888888888888889,0.08888888888888888,0.04444444444444447,0.16329931618554522
douleur,0.0888888888888889,0.11331154474650633,0.044444444444444446,0.08888888888888888,0.08314794192830981
piscine,0.0,0.0544331053951817,0.0,0.054433105395181765,0.10886621079036347
royaume,0.07027283689263066,0.044444444444444425,0.044444444444444425,0.12171612389003693,0.08888888888888888
serpent,0.17213259316477408,0.1507184440694504,0.08314794192830982,0.15713484026367722,0.10886621079036349
fcat,0.0,0.044444444444444446,0.15071844406945042,0.0,0.0
flib,0.04444444444444447,0.20608041101101565,0.04444444444444442,0.04444444444444442,0.04444444444444442
flit,0.11331154474650634,0.11331154474650634,0.0888888888888889,0.08314794192830983,0.04444444444444444
