task,acc,F1,MCC,kernel,C,gamma,best cv
courage,0.5555555555555556,0.3333333333333333,0.0,rbf,3.1622776601683795,10.0,0.55
debut,0.8888888888888888,0.8571428571428571,0.7905694150420948,linear,31.622776601683793,,0.5333333333333333
douleur,0.4444444444444444,0.4444444444444444,0.0,rbf,316.22776601683796,0.03162277660168379,0.6166666666666666
piscine,0.5555555555555556,0.3333333333333333,0.0,rbf,316.22776601683796,0.01,0.75
royaume,0.6666666666666666,0.5714285714285715,0.31622776601683794,rbf,100.0,1.0,0.65
serpent,0.5555555555555556,0.3333333333333333,0.0,rbf,1.0,31.622776601683793,0.7
fcat,0.2222222222222222,0.2222222222222222,-0.5,rbf,10.0,1.0,0.6666666666666666
flib,0.6666666666666666,0.5714285714285715,0.31622776601683794,rbf,31.622776601683793,0.1,0.6666666666666666
flit,0.4444444444444444,0.28571428571428575,-0.15811388300841897,rbf,10.0,10.0,0.7
