task,acc,F1,MCC,kernel,C,gamma,best cv
courage,0.7,0.8235294117647058,0.0,rbf,0.001,0.001,0.6666666666666666
debut,0.7,0.7999999999999999,0.2182178902359924,rbf,1.0,100.0,0.6733333333333333
douleur,0.7,0.7999999999999999,0.2182178902359924,rbf,316.22776601683796,0.1,0.68
piscine,0.7,0.7999999999999999,0.2182178902359924,rbf,3.1622776601683795,100.0,0.7466666666666667
royaume,0.7,0.8235294117647058,0.0,rbf,0.001,0.001,0.6666666666666666
serpent,0.7,0.8235294117647058,0.0,rbf,0.001,0.001,0.6666666666666666
fcat,0.7,0.8235294117647058,0.0,rbf,3.1622776601683795,3.1622776601683795,0.8066666666666666
flib,0.7,0.8235294117647058,0.0,rbf,3.1622776601683795,316.22776601683796,0.7466666666666667
flit,0.7,0.8235294117647058,0.0,rbf,1.0,10.0,0.7066666666666667
