,0
0,piscine
1,piscine_eau_bleue
2,eau_turquoise
3,baigner
4,plonger
5,nager
6,sentir_bien
7,revivre
8,bon_soleil_réchauffe_sortant_piscine
9,eau
10,eau_calcaire
11,eau_calcaire_pique
12,javel
13,pique_yeux
14,pique_peau
15,piscine
16,piscine_est_moins_bien_que_mer
17,mer
18,baigner
19,mer_où_nage
20,lmer_turquoise
21,vingt-cinq_degrés
22,régal
23,plonger
24,oublier
25,flotter
26,tout_redevient_tout_est_magnigfique
27,piscine_est_bien
28,est_bien_quand_n'y_pas_mer
29,mais_est_pas_comme_mer
30,piscine
31,gravière
32,gravières_où_peut_baigner
33,eau_douce
34,piscine_eau_n'est_pas_toujours_très_douce
35,piscine_pique
36,pique_yeux
37,pique
38,faire_bien
39,faire_bien
40,piscine
41,caracalla
42,n'est_pas_très_loin_strasbourg
43,eaux_thermales
44,eau_remous
45,masser
46,eau_chaude
47,caracalla
48,piscine
49,piscine
50,eau_douce_existe_aussi
51,piscine_eau_douce_pas_loin
52,piscine
53,agréable
54,ciel_bleu
55,soleil
56,chaleur
