,0
0,piscine
1,jacuzzi
2,copine
3,fête
4,alcool
5,drogue
6,sexe
7,argent
8,puff_daddy
9,snoop_dogg
10,50cent
11,puff_daddy
12,lil_wayne
13,fouine
14,booba
15,caisses
16,tuning
17,jackie_nord
18,mannequin
19,boobs
20,barbecue
21,travers_porc
22,saucisses
23,hamburger
24,hot-dog
25,bagel_cream_cheese
26,cocaïne
27,soirée
28,fête
29,eau
30,piscine
31,plongeon
32,voilà
33,continue
34,lamborghini
35,ferrari
36,twingo
37,deux-chevaux
38,mère_teresa
39,pape
40,professeur_bertchy
41,fête
42,amour
43,union
44,partage
45,peu
46,vie
47,peut_vivre_sans_cocaïne
