,0
0,jungle
1,sac_main
2,vert
3,chaleur
4,tropiques
5,amérique_sud
6,indien
7,pirogue
8,fleuve
9,or
10,civilisation
11,zoo
12,éléphant
13,zèbre
14,guichet
15,entrée
16,enfant
17,ballon
18,gaufre
19,gravier
20,odeur
21,zèbre
22,loutre
23,thionville
24,sonnette
25,strident
26,panier
27,fmûte
28,chapeau
29,dresseur
30,cirque
31,cheval
32,chevaux
33,cheval
34,selle
35,apprenti
36,palefrenier
37,route
38,virage
39,sinueux
40,adam_eve
41,pomme
42,piqûre
43,mortel
44,poison
45,couleur
46,brun
47,vert
48,odeur
49,tortueux
50,voiture
51,tasmanie
52,incident
53,vingt-cinq_degrés
54,température
55,chaleur
56,kangourou
57,koala
58,avion
59,vacances
60,amusement
61,voiture_location
62,jeunesse
