,0
0,cahier
1,stylo
2,encre
3,crayon
4,casserole
5,assiette
6,fourneau
7,chauffage
8,gaz
9,électricité
10,eau
11,moquette
12,oreiller
13,carton
14,papier
15,plastique
16,ordinateur
17,souris
18,clavier
19,chaussures
20,voiture
21,engrenage
22,boîte_vitesse
23,fauteuil
24,chaussettes
25,pain
26,fromage
27,frigo
28,salade
29,beurre
30,brie
31,pain_mie
32,fuite_eau
33,dégât_eaux
34,tuyau_plastique
35,réfrigérateur
36,cuisinière
37,placard
38,assiette
39,brosse_dents
40,dentifrice
41,gant_toilette
42,serviette_bain
43,robinet
44,évier
45,coton-tige
46,coton-tige
47,médicament
48,shampooing
49,cheveux
50,oreille
51,nez
52,serviette
53,couette
54,fenêtre
55,clanche
56,vélo
57,cyclomoteur
58,manège_enfants
