,0
0,début
1,fin
2,milieu
3,commencement
4,vie
5,arche_noé
6,dieu
7,sept_jours
8,monde
9,homme
10,femme
11,eve
12,adam
13,enfant
14,abel
15,caïn
16,marie-madeleine
17,jésus
18,recommencer
19,reprendre
20,retravailler
21,ne_pas_oublier
22,garder_tête_travail
23,recommencer
24,tomber
25,relever
26,tomber
27,revenir
28,faire_pas_arrière_mieux_avancer
29,début_travail
30,début_histoire
31,tourner_page
32,ranger_livre
33,début_activité
34,activite_joyeuse
35,fin_activité
36,fin_classe
37,sonnerie
38,alarme
39,enfant
40,cri
41,joie
42,début_film
43,début_histoire
44,histoire_sans_fin
45,histoire_intéressante
46,filmographie
47,cinématographie
48,acteur
49,sosie
50,homme
51,femme
52,avant_début
53,toujours_début_quelque_chose
54,nouveau_départ
55,départ_voyage
56,début_aventure
