,0
0,serpent
1,venin
2,vert
3,marron
4,terre
5,fourbe
6,vicieux
7,dents
8,venin
9,même_temps_dirait_dinosaure_parce_que_est_écaillé
10,fin
11,toutes_tailles
12,boa
13,britney_spears_avait_boa_jaune_blan
14,serpents_mordent
15,serpent_serrent
16,serpent_vert
17,toutes_couleurs
18,rouge
19,arc-en-ciel
20,comme_mygales_fait_peur_loin_mais_fin_compte_est_juste_grosse_araignée
21,serpent_n'a_pas_pattes_mais_déplace
22,magique
23,eve_adam
24,pomme_compagnie
25,serpent_était_grand
26,pharmacie
27,botox_est_venin
