,0
0,dormir
1,réveiller
2,manger
3,café
4,maison
5,enfant
6,lit
7,douillet
8,météo
9,info
10,travail
11,collègue
12,courir
13,arrêter
14,réfléchir
15,sourire
16,continuer
17,pause
18,café
19,cigarette
20,vacances
21,pas_encore
22,attendre
23,attendre
24,maison
25,enfant
26,lit_douillet
27,recommencer
28,radio-réveil
29,mal_réglé
30,stress
31,réveil
32,vélo
33,tram
34,travail
35,rigoler
36,pleurer
37,pause
38,café
39,soleil
40,vacances
41,attendre
42,ressource
43,famille
44,enfant
45,long
46,réfléchir
47,yeux_fermés
48,micro
49,sourire
50,vélo
51,hôpital
52,patient
53,respect
54,plaisir
55,paie
56,hiérarchie
57,collègue
58,maison
59,famille
60,enfant
61,colloque
62,mémoire
63,cdi
64,livre
65,relire
66,mémoriser
67,préparer
68,assurer
69,caler
70,encourager
