,0
0,royaume
1,est_pas_mal
2,royaume
3,tolkien
4,empire
5,cieux
6,roi
7,lire
8,roi
9,dame
10,valet
11,as
12,pic
13,carreau
14,trèfle
15,cœur
16,roi
17,royaume
18,crâne
19,cheval
20,shakespeare
21,royaume
22,tolkien
23,auteur
24,film
25,shakespeare
26,royaume
27,cieux
28,roi
29,roi
30,carte
31,jeu
32,république
33,monarchie
34,un
35,deux
36,trois
37,quatre
38,cinq
39,six
40,sept
41,huit
42,crâne
43,empire
44,être
45,non_être
46,crâne
47,cheval
48,empire
49,royaume
50,shakespeare
51,tolkien
52,mordor
53,anneau
54,gandalf
55,chef
56,trois
57,deux
58,un
59,cinéma
60,saga
61,livre
62,lecture
63,film
