,0
0,début_fin
1,vieillesse
2,travail
3,début_relation_amoureuse
4,début_d’étude
5,début_vacances
6,début_job_été
7,début_voyage
8,début_construction_maison
9,début_passion
10,naissance_passion
11,début_entretien
12,début_vie_stage
13,début_alimentation_saine
14,début_nuit
15,début_soirée
16,début_repas
17,début_journée
18,début_u_morceau_musique
19,début_apprentissage
20,musique
21,début_apprentissage_dessin
22,début_apprentissage_peinture
23,début_apprentissage
24,gymnastique_récréative_sportive
25,début_école
26,école_commerce
27,début_école_finances
28,début_amour
29,tous_deux
30,début
