,0
0,chat
1,chien
2,ours
3,hippopotame
4,panda
5,dromadaire
6,chameau
7,éléphant
8,girafe
9,gorille
10,singe
11,macaque
12,ouistiti
13,papillon
14,oiseau
15,merle
16,geai
17,scarabée
18,hanneton
19,coccinelle
20,puceron
21,aigle
22,dinosaure
23,mammouth
24,guépard
25,suricate
26,chien_prairie
27,marmotte
28,chamois
29,tigre
30,lion
31,lion
32,lionceau
33,dauphin
34,baleine
35,pingouin
36,perroquet
37,perruche
38,dobermann
39,labrador
40,persan
41,rat
42,souris
43,hamster
44,lapin
45,poule
46,vache
47,cochon
48,brebis
49,mouton
50,chèvre
51,chevreau
