,0
0,douleur
1,douloureux
2,douloureux
3,heureux
4,heureuse
5,pétillement
6,joie_vivre
7,vieux_souvenir
8,maladie
9,mort
10,peine_coeur
11,déception
12,tristesse
13,pleurs
14,amour
15,amour
16,amitié
17,amitié_filles
18,garçons
19,amour_filles
20,garçons
21,pleurs
22,enfance
23,mère
24,grand-mère
25,femmes_pleurent
26,hommes_mettent_colère
27,pleurent_aussi_mais_colère
28,femmes_pleurent_tristesse
29,larmes_yeux
30,émotion
31,sentimentalisme
32,sentiment
33,nuit
34,soir
35,noir
36,sombre
37,peur
38,anxiété
39,injustice
40,juste
41,justement
42,justification
43,facilité
44,facilité
45,douleur
46,douleur
47,douleur_pied
48,marcher
