,0
0,début
1,fin
2,manger
3,grossir
4,maigrir
5,graisse
6,muscle
7,anorexique
8,boulimique
9,trouble_alimentaire
10,alimentation
11,nourriture
12,manger
13,famine
14,humanitaire
15,syrie
16,rebelle
17,islamiste
18,damas
19,russie
20,assad
21,proche-orient
22,moyen-orient
23,arabie_saoudite
24,pétrole
25,israël
26,eau
27,jourdain
28,tigre
29,euphrate
30,danube
31,rhin
32,meuse
33,samois
34,loire
35,delta
36,atlantique
37,pacifique
38,hawaï
39,miami
40,floride
41,etats-unis
42,kansas
43,wisconsin
44,mexique
45,canada
46,québec
47,alaska
48,groenland
49,danemark
50,allemagne
51,autriche
52,suisse
53,france
54,luxembourg
55,belgique
56,portugal
57,espagne
58,italie
59,lichtenstein
60,bulgarie
61,algérie
62,maroc
63,burkina_faso
64,afrique_du_sud
65,lesotho
