,0
0,courage
1,bravoure
2,épée
3,chevalier
4,Moyen-Âge
5,damoiseau
6,damoiselle
7,tournoi
8,suzerain
9,vassal
10,fer
11,métal
12,Viking
13,forgeron
14,forge
15,feu
16,Héphaïstos
17,épée.1
18,épée.2
19,guerre
20,courage.1
21,courage.2
22,courage.3
23,courage.4
24,bravoure.1
25,valeureux
26,valeureux.1
27,responsable
28,responsable.1
29,engagement
30,engagement.1
31,engagement.2
32,combat
33,guerre.1
34,quiétude
35,civil
36,société_civile
37,engagement.3
38,politique
39,courage.5
40,politique.1
41,institution
42,droit
43,justice
44,fuyant
45,vitesse
46,courage.6
47,courage.7
48,bataille
49,navale
50,histoire
51,valeureux.2
52,valeureux.3
53,citoyen
54,groupe
