,0
0,courage
1,mère
2,train
3,siège
4,voisin
5,livre
6,attente
7,fastidieuse
8,chargeur
9,téléphone
10,courage.1
11,Zola
12,Lénine
13,Balzac
14,splendeur
15,courtisane
16,misère
17,Eloïse
18,la_nouvelle_Eloïse
19,rousseau
20,_se_vexer
21,solitaire
22,promeneur
23,cœur_à__faire_quelque-chose
24,décision
25,absence_de_décision
26,courage.2
27,armée
28,soldat
29,napoléon
30,Joséphine
31,de_Beauharnais
32,livre.1
33,commentaire
34,danois
35,générosité
36,absence_d'égoïsme
37,allocation
38,_étudiant
39,courage_politique
40,François_hollande
41,Julie_gayet
42,absence_de_décision.1
43,Ségolène_royal
44,turpitude
45,cupidité
46,pauvreté
47,richesse
48,richesse.1
49,livre.2
50,cahier
