,0
0,vacances
1,nager
2,plonger
3,sauter
4,chaleur
5,chlore
6,bleu
7,jardin
8,piscine_municipale
9,piscine_à_débordement
10,piscine
11,grand
12,petit
13,piscine_avec_ou_sans_escalier
14,piscine_chauffée
15,piscine_d'intérieur
16,piscine_d'extérieur
17,crawl
18,papillon
19,dos_crawlé
20,eau
21,flotter
22,bateau
23,siège_gonflable
24,planche
25,bouée
26,se_reposer
27,se_détendre
28,se_masser_avec_les_jets_de_la_piscine
29,bronzer_autour_de_la_piscine
30,soleil
31,pays_chauds
32,espagne
33,italie
34,croatie
