,0
0,piscine
1,natation
2,eau
3,crawl
4,brasse
5,brasse_coulée
6,couleur
7,remonter
8,nerveux
9,horloge
10,réveil-matin
11,courage
12,maison
13,monter
14,escalier
15,trois
16,niveau
17,en_bas
18,entre-deux
19,étage
20,grenier
21,cave
22,garage
23,voiture
24,partir
25,revenir
26,tranquille
27,paix
28,amour
29,toujours
30,reviens
31,sur
32,ta_maison
33,ta_maison.1
34,notre_maison
35,tenir
36,deux_minutes
37,tenir.1
38,deux_minutes.1
39,repartir
40,réveiller
41,repartir.1
42,réveiller.1
43,fatigue
44,nervosité
45,punition
46,culpabilité
47,marre
48,marre.1
