,0
0,piscine
1,bastien_vivès
2,bd
3,bande-dessinée
4,goût_du_chlore
5,rencontre_sous_l'eau
6,poisson
7,lunettes_de_plongée
8,poisson_coloré
9,rayure
10,plongée
11,tuba
12,jaune
13,plastique
14,tuba
15,plastique
16,poubelle
17,déchet
18,tunisie
19,beaucoup_de_déchets
20,ranger
21,nettoyer
22,prendre_un_sac_poubelle_et_tout_ranger
23,vacances
24,détente
25,hubba-bubba
26,jeux_pour_enfants
27,jouer_sous_l'eau
28,jouer_à_être_un_sous-marin
29,avec_ma_soeur
30,souvenirs_flous
31,parler_sous_l'eau
32,jouer_dans_la_baignoire
33,aller_à_la_piscine_pour_se_détendre
34,après_les_médicaments
35,être_au_chaud
