,0
0,début
1,fin
2,Ying
3,Yang
4,yoga
5,méditation
6,transcendantal
7,début.1
8,histoire
9,début.2
10,roman
11,début.3
12,vie
13,mort
14,Thanatos
15,Eros
16,écriture
17,théatre
18,pièce
19,pièce.1
20,amour
21,romance
22,joie
23,pleurs
24,enfant
25,enfance
26,adolescence
27,adulte
28,Oméga
29,alpha
30,alpha.1
31,oméga
32,alpha.2
33,oméga.1
34,début.4
35,vitalité
36,santé
37,chronique
38,histoire.1
39,fin.1
40,construction
41,fondation
42,maison
43,petit
44,cochon
45,paille
46,orge
47,romance.1
48,sentiment
49,commencement
50,commencement.1
51,commencement.2
52,fin.2
53,terminaison
